name,slug
Bahía,bahia
Chapecoense AF,chapecoense
Sport Recife,sport
Botafogo,botafogo
Vasco da Gama,vasco
Grêmio,gremio
Corinthians,corinthians
São Paulo,sao-paulo
Internacional,internacional
Atlético Paranaense,athletico-pr
Flamengo,flamengo
Bragantino,bragantino
Goiás,goias
Fortaleza,fortaleza
Juventude,juventude
Avaí,avai
Fluminense,fluminense
Santos,santos
Palmeiras,palmeiras
América Mineiro,america-mg
Coritiba,coritiba
Cuiaba,cuiaba
Atlético Goianiense,atletico-go
Ceará,ceara
Atletico Mineiro,atletico-mg
Cruzeiro,cruzeiro
Vítoria,vitoria
Paraná,parana
CSA,csa
Ponte Preta,ponte-preta